user_id,name,slug,price,stock,image,additional_images,description,category
1,Apple Watch Series 9,apple-watch-series-9,399.99,60,https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d?w=500,https://images.unsplash.com/photo-1434493789847-2f02dc6ca35d?w=500,Apple Watch with S9 chip and double tap gesture,Toys
1,Garmin Fenix 7,garmin-fenix-7,699.99,30,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,Garmin multisport GPS smartwatch,Toys
1,LEGO Technic Bugatti,lego-technic-bugatti,449.99,20,https://images.unsplash.com/photo-1587654780291-39c9404d746b?w=500,https://images.unsplash.com/photo-1587654780291-39c9404d746b?w=500,LEGO Technic Bugatti Chiron building set,Toys
1,Kindle Paperwhite,kindle-paperwhite,139.99,70,https://images.unsplash.com/photo-1593078165899-c7d2ac0d6aea?w=500,https://images.unsplash.com/photo-1593078165899-c7d2ac0d6aea?w=500,Kindle e-reader with 6.8 inch display and warm light,Toys
1,Bose SoundLink Flex,bose-soundlink-flex,149.99,55,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500,Portable waterproof Bluetooth speaker,Toys
1,Anker PowerCore 26800,anker-powercore-26800,65.99,90,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=500,https://images.unsplash.com/photo-1609091839311-d5365f9ff1c5?w=500,High capacity portable charger with 3 ports,Toys
1,Logitech MX Master 3S,logitech-mx-master-3s,99.99,65,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500,https://images.unsplash.com/photo-1527864550417-7fd91fc51a46?w=500,Logitech advanced wireless mouse for productivity,Toys
1,Razer BlackWidow V4,razer-blackwidow-v4,139.99,40,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=500,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=500,Razer mechanical gaming keyboard with RGB,Toys
1,Herman Miller Aeron Chair,herman-miller-aeron,1495.99,10,https://images.unsplash.com/photo-1592078615290-033ee584e267?w=500,https://images.unsplash.com/photo-1592078615290-033ee584e267?w=500,Ergonomic office chair with PostureFit SL,Toys
1,IKEA KALLAX Shelf,ikea-kallax-shelf,79.99,25,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,https://images.unsplash.com/photo-1555041469-a586c61ea9bc?w=500,IKEA versatile shelving unit in white,Toys
1,Philips Hue Starter Kit,philips-hue-starter-kit,199.99,35,https://images.unsplash.com/photo-1558002038-1055907df827?w=500,https://images.unsplash.com/photo-1558002038-1055907df827?w=500,Philips Hue smart bulbs starter kit with bridge,Toys
1,Amazon Echo Dot 5th Gen,amazon-echo-dot-5th-gen,49.99,100,https://images.unsplash.com/photo-1512446816042-444d641267d4?w=500,https://images.unsplash.com/photo-1512446816042-444d641267d4?w=500,Amazon smart speaker with Alexa,Toys
1,Fitbit Charge 6,fitbit-charge-6,159.99,55,https://images.unsplash.com/photo-1575311373937-040b8e1fd6b0?w=500,https://images.unsplash.com/photo-1575311373937-040b8e1fd6b0?w=500,Fitbit fitness tracker with Google apps,Toys
1,Weber Spirit II Gas Grill,weber-spirit-ii-gas-grill,549.99,12,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=500,https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=500,Weber 3 burner gas grill for outdoor cooking,Toys
1,Coleman 6 Person Tent,coleman-6-person-tent,149.99,30,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500,https://images.unsplash.com/photo-1504280390367-361c6d9f38f4?w=500,Coleman weatherproof camping tent,Toys
1,Yeti Rambler 30oz,yeti-rambler-30oz,38.99,80,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,Yeti stainless steel insulated tumbler,Toys
1,Hydro Flask 32oz,hydro-flask-32oz,44.95,75,https://images.unsplash.com/photo-1589365278144-c9e705f843ba?w=500,https://images.unsplash.com/photo-1589365278144-c9e705f843ba?w=500,Hydro Flask insulated water bottle,Toys
1,Ray-Ban Wayfarer Sunglasses,ray-ban-wayfarer,161.99,60,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=500,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=500,Classic Ray-Ban Wayfarer sunglasses with UV protection,Toys
1,Osprey Atmos 65 Backpack,osprey-atmos-65,290.99,20,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,Osprey mens hiking backpack with AirSpeed suspension,Toys
1,Theragun Pro,theragun-pro,599.99,25,https://images.unsplash.com/photo-1608138278602-4cf5f8e72b45?w=500,https://images.unsplash.com/photo-1608138278602-4cf5f8e72b45?w=500,Professional grade percussive therapy device,Toys
1,Vitamix 5200 Blender,vitamix-5200-blender,449.95,20,https://images.unsplash.com/photo-1570222094114-d054a817e56b?w=500,https://images.unsplash.com/photo-1570222094114-d054a817e56b?w=500,Vitamix professional grade blender,Toys
1,Nespresso Vertuo Next,nespresso-vertuo-next,179.99,40,https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500,https://images.unsplash.com/photo-1610889556528-9a770e32642f?w=500,Nespresso coffee and espresso machine,Toys
1,iRobot Roomba j7+,irobot-roomba-j7,599.99,18,https://images.unsplash.com/photo-1589923188651-268a9765e432?w=500,https://images.unsplash.com/photo-1589923188651-268a9765e432?w=500,iRobot self emptying robot vacuum,Toys
1,Sonos One Speaker,sonos-one-speaker,219.99,35,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=500,https://images.unsplash.com/photo-1545454675-3531b543be5d?w=500,Sonos smart speaker with voice control,Toys
1,DJI Mini 4 Pro Drone,dji-mini-4-pro,759.99,15,https://images.unsplash.com/photo-1473968512647-3e447244af8f?w=500,https://images.unsplash.com/photo-1473968512647-3e447244af8f?w=500,DJI lightweight foldable drone with 4K camera,Toys
1,Nintendo Switch OLED,nintendo-switch-oled,349.99,30,https://images.unsplash.com/photo-1662541654040-b9fb88a35e85?w=500,https://images.unsplash.com/photo-1662541654040-b9fb88a35e85?w=500,Nintendo Switch with vibrant 7 inch OLED screen,Toys
1,Patagonia Nano Puff Jacket,patagonia-nano-puff-jacket,279.99,40,https://images.unsplash.com/photo-1604644401890-0bd678c83788?w=500,https://images.unsplash.com/photo-1604644401890-0bd678c83788?w=500,Patagonia lightweight insulated jacket,Toys
1,Under Armour HOVR Sonic,under-armour-hovr-sonic,99.99,70,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,Under Armour connected running shoe,Toys
1,Manduka PRO Yoga Mat,manduka-pro-yoga-mat,120,50,https://images.unsplash.com/photo-1601925228008-8e5b978c5d4e?w=500,https://images.unsplash.com/photo-1601925228008-8e5b978c5d4e?w=500,Professional grade non slip yoga mat,Toys
1,Beats Studio Pro,beats-studio-pro,349.99,45,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,Beats wireless headphones with ANC,Toys
1,Samsung Galaxy Watch 6,samsung-galaxy-watch-6,299.99,40,https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=500,https://images.unsplash.com/photo-1579586337278-3befd40fd17a?w=500,Samsung smartwatch with advanced health tracking,Toys
1,Asus ROG Zephyrus G14,asus-rog-zephyrus-g14,1499.99,20,https://images.unsplash.com/photo-1593642632559-0c6d3fc62b89?w=500,https://images.unsplash.com/photo-1593642632559-0c6d3fc62b89?w=500,Asus ROG gaming laptop with AMD Ryzen 9,Toys
